Region,Sub_region,Borough,Code,Ward,P16plus,NoQual,Level1,Level2,Level3,Level4_5,Other
London,Outer London,Barking and Dagenham,00ABFX,Abbey,7295,2183,1244,1275,615,1527,451
London,Outer London,Barking and Dagenham,00ABFY,Alibon,6406,2890,1309,1090,291,347,479
London,Outer London,Barking and Dagenham,00ABFZ,Becontree,7887,2897,1526,1387,612,962,503
London,Outer London,Barking and Dagenham,00ABGA,Chadwell Heath,6336,2382,1329,1157,336,658,474
London,Outer London,Barking and Dagenham,00ABGB,Eastbrook,7131,2657,1380,1426,409,673,586
London,Outer London,Barking and Dagenham,00ABGC,Eastbury,7143,3026,1244,1204,407,739,523
London,Outer London,Barking and Dagenham,00ABGD,Gascoigne,6401,2468,1038,1117,386,939,453
London,Outer London,Barking and Dagenham,00ABGE,Goresbrook,7002,3048,1347,1212,332,542,521
London,Outer London,Barking and Dagenham,00ABGF,Heath,6413,2889,1243,1075,303,461,442
London,Outer London,Barking and Dagenham,00ABGG,Longbridge,6435,1971,1154,1308,517,957,528
London,Outer London,Barking and Dagenham,00ABGH,Mayesbrook,6371,2936,1193,1111,322,353,456
London,Outer London,Barking and Dagenham,00ABGJ,Parsloes,6182,2804,1143,1087,290,398,460
London,Outer London,Barking and Dagenham,00ABGK,River,7134,2928,1480,1312,342,531,541
London,Outer London,Barking and Dagenham,00ABGL,Thames,5944,2224,1142,1058,372,755,393
London,Outer London,Barking and Dagenham,00ABGM,Valence,5995,2701,1120,1074,307,398,395
London,Outer London,Barking and Dagenham,00ABGN,Village,6645,2632,1329,1221,359,587,517
London,Outer London,Barking and Dagenham,00ABGP,Whalebone,6859,2237,1433,1450,426,788,525
London,Outer London,Barnet,00ACFX,Brunswick Park,10630,2354,1545,2127,1063,2864,677
London,Outer London,Barnet,00ACFY,Burnt Oak,10499,3235,1591,1945,898,2189,641
London,Outer London,Barnet,00ACFZ,Childs Hill,12761,1893,1035,1934,1571,5823,505
London,Outer London,Barnet,00ACGA,Colindale,10148,2576,1353,1819,1077,2734,589
London,Outer London,Barnet,00ACGB,Coppetts,10916,2197,1373,1906,1093,3832,515
London,Outer London,Barnet,00ACGC,East Barnet,11227,2446,1724,2272,1059,3050,676
London,Outer London,Barnet,00ACGD,East Finchley,10945,2007,967,1612,1033,4866,460
London,Outer London,Barnet,00ACGE,Edgware,10513,2305,1327,2248,1254,2904,475
London,Outer London,Barnet,00ACGF,Finchley Church End,10266,1444,782,1733,1331,4589,387
London,Outer London,Barnet,00ACGG,Garden Suburb,10493,944,640,1619,1272,5727,291
London,Outer London,Barnet,00ACGH,Golders Green,10944,1932,944,1779,1425,4367,497
London,Outer London,Barnet,00ACGJ,Hale,11060,2525,1472,2219,1158,3077,609
London,Outer London,Barnet,00ACGK,Hendon,11238,1944,944,1916,1496,4515,423
